Publisher,Global_players
2D Boy,0.04
3DO,1.05
505 Games,34.9
AQ Interactive,0.22
ASCII Entertainment,0.5
Acclaim Entertainment,12.97
Activision,75.63
Agatsuma Entertainment,0.03
Agetec,1.08
Alawar Entertainment,0.04
Alternative Software,0.07
Arc System Works,0.19
Arika,0.02
Aspyr,0.32
Astragon,0.22999999999999998
Asylum Entertainment,0.09
Atari,27.61
Atlus,0.09
Avalon Interactive,0.05
Avanquest,1.95
BAM! Entertainment,1.3900000000000001
Bethesda Softworks,3.48
Big Ben Interactive,0.060000000000000005
Bigben Interactive,0.44
Black Bean Games,0.6900000000000001
Blast! Entertainment Ltd,0.28
Brash Entertainment,0.52
CDV Software Entertainment,0.11
Capcom,10.56
Cave,0.1
City Interactive,0.59
Codemasters,21.56
Conspiracy Entertainment,0.31
Crave Entertainment,4.1
D3Publisher,2.93
DHM Interactive,0.13999999999999999
DSI Games,0.14
DTP Entertainment,0.5
Data Design Interactive,0.28
Deep Silver,4.0
"Destination Software, Inc",0.33
Destineer,2.84
Disney Interactive Studios,47.46
DreamCatcher Interactive,0.46
Dusenberry Martin Racing,0.09
ESP,0.05
Eidos Interactive,2.8200000000000003
Electronic Arts,526.78
Empire Interactive,3.85
Encore,0.02
Enix Corporation,0.26
Enjoy Gaming ltd.,0.1
Enterbrain,0.13
Ertain,0.05
Focus Home Interactive,3.85
Foreign Media Games,0.16
Funbox Media,0.11
Funsta,0.2
GSP,1.72
Game Factory,3.0500000000000003
Game Life,0.28
GameMill Entertainment,0.73
Gathering of Developers,0.6
Genki,1.09
Global Star,5.49
Gotham Games,0.76
Graffiti,0.24
Hasbro Interactive,2.17
Her Interactive,0.03
Hip Interactive,0.05
Home Entertainment Suppliers,0.56
Hudson Entertainment,0.32
Hudson Soft,1.72
Ignition Entertainment,2.34
Infogrames,7.3
Insomniac Games,0.16999999999999998
Interplay,0.8
"Interworks Unlimited, Inc.",0.01
Ivolgamus,0.04
JVC,0.02
Jack of All Games,0.04
Jaleco,0.26
Jester Interactive,1.15
JoWood Productions,0.18
Kalypso Media,0.11
Kemco,0.13999999999999999
Knowledge Adventure,0.41
Koch Media,0.95
Konami Digital Entertainment,76.84
Kool Kizz,0.04
LEGO Media,0.06
LSP Games,0.08
Legacy Interactive,0.04
Lexicon Entertainment,0.03
Licensed 4U,0.02
Lighthouse Interactive,0.01
Liquid Games,0.27
Little Orbit,0.3
LucasArts,7.52
Mad Catz,0.23
Magix,0.31
Majesco Entertainment,8.16
Marvelous Entertainment,0.91
Marvelous Interactive,0.45999999999999996
Mastertronic,0.28
Mattel Interactive,0.06
Max Five,0.05
Media Rings,0.19
Mentor Interactive,0.01
Metro 3D,0.47000000000000003
Microids,0.04
Microprose,0.04
Microsoft Game Studios,62.21
Midas Interactive Entertainment,1.43
Midway Games,16.46
Milestone,0.08
Milestone S.r.l,0.12000000000000001
Milestone S.r.l.,0.73
Mindscape,2.38
Monte Christo Multimedia,0.04
Mud Duck Productions,0.55
Mumbo Jumbo,0.5800000000000001
Namco Bandai Games,23.36
Natsume,1.4400000000000002
Neko Entertainment,0.06
NewKidCo,0.32
Nintendo,722.99
Nippon Ichi Software,0.05
Nobilis,1.4200000000000002
Nordcurrent,0.24
Nordic Games,0.52
O-Games,0.39
O3 Entertainment,0.13
Oxygen Interactive,0.51
P2 Games,0.02
PQube,0.15000000000000002
Paradox Interactive,0.24000000000000002
Phenomedia,0.07
Play It,2.28
PlayV,0.17
Playlogic Game Factory,0.19
PopCap Games,1.01
Popcorn Arcade,0.24
Psygnosis,0.76
RTL,1.8900000000000001
Rage Software,0.1
Rebellion,0.49
Red Orb,2.43
RedOctane,0.07
Rising Star Games,7.02
Rondomedia,1.16
Russel,1.12
SCi,0.01
Sammy Corporation,0.22
Scholastic Inc.,2.2199999999999998
Sega,75.8
Slightly Mad Studios,1.48
Sony Computer Entertainment,164.38
Sony Computer Entertainment America,1.26
Sony Computer Entertainment Europe,3.9899999999999998
SouthPeak Games,2.9499999999999997
Spike,3.6
Square Enix,4.87
SquareSoft,3.2699999999999996
Starfish,0.15
Storm City Games,0.86
Success,0.01
Summitsoft,0.04
Sunsoft,0.09
System 3 Arcade Software,0.48
TDK Core,0.19
TDK Mediactive,5.57
THQ,135.14
Taito,0.23
Takara Tomy,0.08
Take-Two Interactive,79.33
Tecmo Koei,2.33
Telegames,1.0
Tetris Online,0.43
The Adventure Company,0.22000000000000003
Titus,1.1600000000000001
Tivola,0.11000000000000001
Tommo,0.11000000000000001
Tomy Corporation,0.11
Touchstone,0.13
Tradewest,0.04
Tru Blu Entertainment,0.18
UFO Interactive,0.88
Ubisoft,91.61
Universal Interactive,13.04
Unknown,14.1
Valcon Games,0.34
ValuSoft,0.35
Vatical Entertainment,0.16
Victor Interactive,0.02
Vir2L Studios,0.03
Virgin Interactive,0.36
Virtual Play Games,0.04
Vivendi Games,18.81
Warner Bros. Interactive Entertainment,8.94
White Park Bay Software,0.15
XS Games,0.9299999999999999
Xicat Interactive,0.03
Xplosiv,1.4200000000000002
Yacht Club Games,0.32
Zoo Digital Publishing,5.47
Zoo Games,3.66
Zushi Games,0.5700000000000001
bitComposer Games,0.03
iWin,0.06
